"id";"content";"answer1";"answer2";"answer3";"answer4";"key"
1;"0 + 8";"6";"8";"11";"4";"8"
2;"6 + 6";"16";"19";"12";"7";"12"
3;"6 * 8";"51";"53";"48";"52";"48"
4;"0 / 7";"0";"7";"-8";"-8";"0"
5;"0 * 7";"-5";"3";"7";"0";"0"
6;"6 - 8";"4";"-8";"-11";"-2";"-2"
7;"0 + 7";"9";"13";"5";"7";"7"
8;"6 - 2";"4";"-4";"6";"-4";"4"
9;"5 + 3";"17";"8";"7";"5";"8"
10;"3 * 4";"16";"12";"21";"19";"12"
11;"7 * 8";"59";"56";"53";"50";"56"
12;"7 + 3";"10";"13";"19";"1";"10"
13;"3 * 6";"18";"16";"26";"9";"18"
14;"5 / 5";"-7";"7";"1";"8";"1"
15;"4 - 7";"-3";"-2";"-12";"-9";"-3"
16;"8 * 8";"63";"59";"60";"64";"64"
17;"4 - 6";"-5";"-9";"-7";"-2";"-2"
18;"8 / 8";"8";"9";"1";"-3";"1"
19;"8 + 5";"13";"18";"21";"14";"13"
20;"8 + 8";"16";"22";"21";"11";"16"
21;"7 - 2";"10";"4";"14";"5";"5"
22;"4 / 2";"0";"11";"2";"3";"2"
23;"0 / 7";"2";"5";"2";"0";"0"
24;"2 / 2";"1";"10";"0";"5";"1"
25;"6 - 4";"3";"8";"2";"-4";"2"
26;"8 - 9";"-9";"4";"-5";"-1";"-1"
27;"5 - 8";"4";"-3";"-7";"6";"-3"
28;"9 + 4";"12";"5";"13";"20";"13"
29;"8 * 7";"64";"53";"56";"47";"56"
30;"3 * 2";"5";"6";"9";"10";"6"
31;"3 - 7";"-4";"-8";"-7";"-10";"-4"
32;"0 * 2";"0";"9";"-8";"-6";"0"
33;"0 / 7";"-3";"-9";"0";"-8";"0"
34;"8 * 8";"58";"64";"57";"70";"64"
35;"5 - 9";"-11";"-6";"-4";"-5";"-4"
36;"7 + 9";"15";"16";"12";"17";"16"
37;"1 * 4";"-5";"5";"-4";"4";"4"
38;"0 / 8";"4";"9";"3";"0";"0"
39;"2 * 6";"12";"13";"4";"20";"12"
40;"5 + 4";"10";"11";"9";"11";"9"
41;"6 * 7";"50";"42";"36";"40";"42"
42;"3 + 6";"9";"3";"1";"1";"9"
43;"8 + 8";"16";"15";"15";"25";"16"
44;"5 - 7";"-2";"2";"-7";"-1";"-2"
45;"0 / 5";"5";"-4";"0";"-7";"0"
46;"0 - 2";"-1";"3";"-2";"-3";"-2"
47;"3 - 7";"0";"1";"-4";"-8";"-4"
48;"4 - 8";"-9";"4";"-1";"-4";"-4"
49;"2 * 5";"15";"2";"10";"19";"10"
50;"3 - 1";"2";"-5";"8";"-6";"2"
51;"6 + 6";"12";"20";"18";"10";"12"
52;"0 / 4";"9";"0";"-1";"5";"0"
53;"8 * 9";"75";"79";"72";"74";"72"
54;"8 / 4";"2";"9";"1";"-7";"2"
55;"4 / 4";"1";"-7";"-3";"8";"1"
56;"4 + 6";"16";"10";"17";"13";"10"
57;"2 * 6";"17";"17";"8";"12";"12"
